130610152 || 社會 || 2013/06/11 11:38 || 9999 || 192.168.0.200/01NEWS/20130610/s130610152.mp4 || 天熱!台南2天8人猝死 證實心肌梗塞 || 中視 ||
130610153 || 影劇 || 2013/06/11 11:38 || 9999 || 192.168.0.200/01NEWS/20130610/s130610153.mp4 || 薛凱莉瑞士車禍 輕微腦震盪送醫 || 中視 ||
130610154 || 消費 || 2013/06/11 11:38 || 9999 || 192.168.0.200/01NEWS/20130610/s130610154.mp4 || 畢業送花老梗 政大生賣蛋糕單日破萬元 || 中視 ||
130610155 || 消費 || 2013/06/11 11:48 || 9999 || 192.168.0.200/01NEWS/20130610/s130610155.mp4 || 噁!美國原裝桂格大燕麥片 飛蛾爬竄 || 中視 ||
130610156 || 生活 || 2013/06/11 11:48 || 9999 || 192.168.0.200/01NEWS/20130610/s130610156.mp4 || 蚊子愛叮誰? 穿黑衣化妝汗多頭號目標 || 中視 ||
130610157 || 政治 || 2013/06/11 11:48 || 9999 || 192.168.0.200/01NEWS/20130610/s130610157.mp4 || 顏清標:服完刑期 一輩子當媽祖義工 || 中視 ||
130610158 || 消費 || 2013/06/11 12:00 || 9999 || 192.168.0.200/01NEWS/20130610/s130610158.mp4 || 平價IPHONE今亮相? 塑膠外殼萬元有找 || 中視 ||
130610159 || 科技 || 2013/06/11 12:00 || 9999 || 192.168.0.200/01NEWS/20130610/s130610159.mp4 || 結紮12年想再生 達文西手臂接通首例 || 中視 ||
130610160 || 社會 || 2013/06/11 12:00 || 9999 || 192.168.0.200/01NEWS/20130610/s130610160.mp4 || 單身台大生 替7千大學生牽紅線 || 中視 ||
130610161 || 消費 || 2013/06/11 13:10 || 9999 || 192.168.0.200/01NEWS/20130610/s130610161.mp4 || 強攻暑假商機 高雄直飛首爾1週5航班 || 中視 ||
130610162 || 消費 || 2013/06/11 13:10 || 9999 || 192.168.0.200/01NEWS/20130610/s130610162.mp4 || 吳寶春推保種麵包 風味更天然 || 中視 ||
130610163 || 政治 || 2013/06/11 13:10 || 9999 || 192.168.0.200/01NEWS/20130610/s130610163.mp4 || 赴香港北京推觀光 新北市推"運將帶路" || 中視 ||
130611101 || 社會 || 2013/06/11 09:45 || 9999 || 192.168.0.200/01NEWS/20130611/s130611101.mp4 || 板橋2歲童頭部創傷 父疑保母凌虐致死 || 中視 ||
130611102 || 社會 || 2013/06/11 09:46 || 9999 || 192.168.0.200/01NEWS/20130611/s130611102.mp4 || 遭父母鐵鍊拴腳 迷"網"少年消防局求救 || 中視 ||
130611103 || 社會 || 2013/06/11 09:48 || 9999 || 192.168.0.200/01NEWS/20130611/s130611103.mp4 || 拿咖啡恍神 甲苯車國道翻覆起火 || 中視 ||
130611104 || 社會 || 2013/06/11 09:50 || 9999 || 192.168.0.200/01NEWS/20130611/s130611104.mp4 || 看導航擦撞貨車 害翻7圈車駕駛命大 || 中視 ||
130611105 || 財經 || 2013/06/11 09:55 || 9999 || 192.168.0.200/01NEWS/20130611/s130611105.mp4 || 用地不拖用電不壓 江蘇宿遷吸200台商 || 中視 ||
130611106 || 財經 || 2013/06/11 09:56 || 9999 || 192.168.0.200/01NEWS/20130611/s130611106.mp4 || '外幣競技場"活動 正確預測匯率有獎 || 中視 ||
130611107 || 影劇 || 2013/06/11 10:13 || 9999 || 192.168.0.200/01NEWS/20130611/s130611107.mp4 || 富春山居圖香港首映 志玲華仔攜手出席 || 中視 ||
130611108 || 影劇 || 2013/06/11 10:13 || 9999 || 192.168.0.200/01NEWS/20130611/s130611108.mp4 || 愛情喜劇開紅盤! 安心亞:收視破三送抱抱 || 中視 ||
130611109 || 社會 || 2013/06/11 10:13 || 9999 || 192.168.0.200/01NEWS/20130611/s130611109.mp4 || 警方破獲販毒集團 8年級生校園販售K它命 || 中視 ||
